Feature,LabelType,GiantPlanetBinSampleSize,GiantPlanet_2Sigma_Threshold,GiantPlanet_3Sigma_Threshold,LowMassPlanetBinSampleSize,LowMassPlanet_2Sigma_Threshold,LowMassPlanet_3Sigma_Threshold,MultiPlanetBinSampleSize,MultiPlanet_2Sigma_Threshold,MultiPlanet_3Sigma_Threshold
Al,Comparison,5609 - 7477,0.9,0.9,5509 - 7344,0.8,0.7,5705 - 7605,0.9,0.8
Al,Host,490 - 612,0.8,0.8,621 - 775,0.9,0.8,363 - 453,0.5,0.2
BaII,Host,245 - 367,0.8,0.7,0 - 155,0.2,0.2,91 - 181,0.5,0.2
BaII,Comparison,3739 - 5608,0.5,0.4,3673 - 5508,0.2,0.2,3803 - 5704,0.2,0.2
C,Host,490 - 612,0.9,0.8,621 - 775,0.2,0.2,363 - 453,0.7,0.5
C,Comparison,5609 - 7477,0.7,0.5,5509 - 7344,0.2,0.2,5705 - 7605,0.4,0.2
Ca,Comparison,7478 - 9347,0.2,0.2,7345 - 9181,0.5,0.2,7606 - 9507,0.5,0.2
Ca,Host,490 - 612,0.9,0.8,621 - 775,0.8,0.5,363 - 453,0.8,0.7
CaII,Comparison,0 - 1869,0.5,0.2,0 - 1836,0.6,0.5,0 - 1901,0.6,0.5
CaII,Host,0 - 122,0.8,0.8,0 - 155,0.2,0.2,0 - 90,0.6,0.5
CeII,Host,123 - 244,0.8,0.8,0 - 155,0.2,0.2,0 - 90,0.7,0.5
CeII,Comparison,3739 - 5608,0.8,0.8,3673 - 5508,0.9,0.8,3803 - 5704,0.8,0.8
Co,Host,368 - 489,0.8,0.7,0 - 155,0.2,0.2,91 - 181,0.6,0.4
Co,Comparison,3739 - 5608,0.9,0.8,5509 - 7344,0.9,0.8,3803 - 5704,0.9,0.8
Cr,Comparison,5609 - 7477,0.8,0.6,5509 - 7344,0.5,0.2,5705 - 7605,0.5,0.2
Cr,Host,490 - 612,0.9,0.8,621 - 775,0.2,0.2,363 - 453,0.6,0.5
CrII,Comparison,1870 - 3738,0.9,0.9,1837 - 3672,0.9,0.9,1902 - 3802,0.9,0.9
CrII,Host,245 - 367,0.9,0.8,0 - 155,0.6,0.5,91 - 181,0.8,0.7
Cu,Comparison,3739 - 5608,0.9,0.9,3673 - 5508,1.0,0.9,3803 - 5704,1.0,0.9
Cu,Host,245 - 367,0.9,0.8,0 - 155,0.7,0.5,0 - 90,0.8,0.7
Eu,Host,0 - 122,0.8,0.8,0 - 155,0.7,0.5,0 - 90,0.7,0.6
Eu,Comparison,0 - 1869,1.0,0.9,0 - 1836,1.0,0.9,0 - 1901,1.0,0.9
EuII,Host,123 - 244,0.8,0.8,0 - 155,0.6,0.5,0 - 90,0.8,0.6
EuII,Comparison,1870 - 3738,0.8,0.7,3673 - 5508,0.8,0.7,3803 - 5704,0.8,0.7
f_bv,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
f_bv,Host,368 - 489,0.9,0.9,0 - 155,0.8,0.8,91 - 181,0.8,0.8
f_dist,Host,490 - 612,1.0,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
f_dist,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
f_logg,Host,490 - 612,1.0,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
f_logg,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
f_mass,Host,368 - 489,0.5,0.4,621 - 775,0.8,0.8,363 - 453,0.2,0.2
f_mass,Comparison,5609 - 7477,0.8,0.7,5509 - 7344,0.8,0.8,5705 - 7605,0.8,0.8
f_radius,Host,490 - 612,0.9,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
f_radius,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
f_teff,Comparison,7478 - 9347,0.7,0.7,7345 - 9181,0.7,0.6,7606 - 9507,0.7,0.7
f_teff,Host,490 - 612,0.6,0.6,621 - 775,1.0,0.9,363 - 453,0.5,0.4
f_u,Comparison,5609 - 7477,1.0,1.0,5509 - 7344,1.0,1.0,5705 - 7605,1.0,1.0
f_u,Host,245 - 367,0.9,0.9,0 - 155,0.8,0.8,91 - 181,0.9,0.8
f_v,Comparison,5609 - 7477,1.0,1.0,5509 - 7344,1.0,1.0,5705 - 7605,1.0,1.0
f_v,Host,245 - 367,0.8,0.8,0 - 155,0.6,0.5,91 - 181,0.5,0.4
f_vmag,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
f_vmag,Host,368 - 489,0.9,0.9,0 - 155,0.9,0.8,91 - 181,0.9,0.8
f_w,Comparison,5609 - 7477,0.2,0.2,5509 - 7344,0.2,0.2,5705 - 7605,0.2,0.2
f_w,Host,245 - 367,0.2,0.2,0 - 155,0.2,0.2,91 - 181,0.2,0.2
Fe,Comparison,7478 - 9347,1.0,0.9,7345 - 9181,1.0,0.9,7606 - 9507,1.0,0.9
Fe,Host,490 - 612,0.9,0.9,621 - 775,0.9,0.8,363 - 453,0.9,0.8
K,Comparison,0 - 1869,0.5,0.2,0 - 1836,0.7,0.5,0 - 1901,0.6,0.4
K,Host,0 - 122,0.6,0.4,0 - 155,0.2,0.2,0 - 90,0.4,0.2
LaII,Host,123 - 244,0.8,0.8,0 - 155,0.8,0.7,0 - 90,0.8,0.6
LaII,Comparison,1870 - 3738,1.0,1.0,1837 - 3672,1.0,1.0,1902 - 3802,1.0,1.0
Li,Comparison,1870 - 3738,1.0,1.0,1837 - 3672,1.0,1.0,1902 - 3802,1.0,1.0
Li,Host,245 - 367,0.9,0.9,0 - 155,0.8,0.6,0 - 90,0.8,0.7
Mg,Host,490 - 612,0.5,0.2,621 - 775,0.9,0.9,363 - 453,0.8,0.7
Mg,Comparison,7478 - 9347,1.0,1.0,5509 - 7344,1.0,1.0,7606 - 9507,1.0,1.0
Mn,Comparison,5609 - 7477,1.0,0.9,5509 - 7344,0.9,0.9,5705 - 7605,0.9,0.9
Mn,Host,490 - 612,0.8,0.7,621 - 775,0.8,0.8,363 - 453,0.2,0.2
Na,Comparison,5609 - 7477,1.0,1.0,5509 - 7344,1.0,1.0,5705 - 7605,1.0,1.0
Na,Host,490 - 612,0.8,0.5,621 - 775,1.0,0.9,363 - 453,0.9,0.8
NdII,Comparison,3739 - 5608,0.9,0.9,3673 - 5508,0.9,0.9,3803 - 5704,0.9,0.9
NdII,Host,123 - 244,0.4,0.2,0 - 155,0.2,0.2,0 - 90,0.5,0.2
Ni,Host,490 - 612,0.9,0.8,621 - 775,0.2,0.2,363 - 453,0.6,0.4
Ni,Comparison,7478 - 9347,0.8,0.8,5509 - 7344,0.8,0.6,7606 - 9507,0.8,0.7
O,Comparison,5609 - 7477,1.0,0.9,5509 - 7344,0.9,0.9,5705 - 7605,0.9,0.9
O,Host,490 - 612,0.7,0.5,621 - 775,0.8,0.7,363 - 453,0.5,0.2
PrII,Host,0 - 122,0.5,0.4,0 - 155,0.4,0.2,0 - 90,0.7,0.5
PrII,Comparison,0 - 1869,0.8,0.7,0 - 1836,0.8,0.7,0 - 1901,0.8,0.6
S,Host,245 - 367,0.8,0.7,0 - 155,0.2,0.2,0 - 90,0.7,0.5
S,Comparison,1870 - 3738,0.8,0.7,1837 - 3672,0.8,0.7,1902 - 3802,0.8,0.7
Sc,Comparison,3739 - 5608,0.9,0.8,3673 - 5508,0.9,0.8,3803 - 5704,0.9,0.8
Sc,Host,368 - 489,0.9,0.8,0 - 155,0.2,0.2,91 - 181,0.7,0.5
ScII,Host,245 - 367,0.2,0.2,0 - 155,0.5,0.2,91 - 181,0.2,0.2
ScII,Comparison,3739 - 5608,1.0,1.0,3673 - 5508,1.0,1.0,3803 - 5704,1.0,1.0
Si,Host,490 - 612,0.9,0.8,621 - 775,1.0,0.9,363 - 453,0.9,0.8
Si,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
SiII,Host,0 - 122,0.6,0.5,0 - 155,0.2,0.2,0 - 90,0.2,0.2
SiII,Comparison,0 - 1869,0.9,0.8,0 - 1836,0.9,0.8,0 - 1901,0.9,0.8
SmII,Comparison,1870 - 3738,0.9,0.8,1837 - 3672,0.9,0.9,1902 - 3802,0.9,0.9
SmII,Host,123 - 244,0.8,0.8,0 - 155,0.4,0.2,0 - 90,0.8,0.6
Sr,Comparison,1870 - 3738,1.0,0.9,3673 - 5508,0.9,0.9,1902 - 3802,1.0,0.9
Sr,Host,123 - 244,0.2,0.2,0 - 155,0.7,0.5,0 - 90,0.2,0.2
Ti,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
Ti,Host,490 - 612,0.9,0.8,621 - 775,1.0,0.9,363 - 453,0.9,0.9
TiII,Host,368 - 489,0.8,0.8,0 - 155,0.2,0.2,91 - 181,0.6,0.5
TiII,Comparison,1870 - 3738,0.8,0.8,1837 - 3672,0.8,0.6,1902 - 3802,0.8,0.7
V,Host,490 - 612,0.9,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
V,Comparison,5609 - 7477,1.0,1.0,5509 - 7344,1.0,1.0,5705 - 7605,1.0,1.0
VII,Comparison,0 - 1869,0.2,0.2,0 - 1836,0.2,0.2,0 - 1901,0.2,0.2
VII,Host,0 - 122,0.7,0.5,0 - 155,0.2,0.2,0 - 90,0.6,0.2
Y,Comparison,3739 - 5608,1.0,0.9,3673 - 5508,1.0,0.9,3803 - 5704,1.0,0.9
Y,Host,368 - 489,0.9,0.9,621 - 775,0.9,0.8,363 - 453,0.8,0.8
YII,Host,123 - 244,0.7,0.6,0 - 155,0.8,0.6,0 - 90,0.7,0.5
YII,Comparison,1870 - 3738,1.0,1.0,1837 - 3672,1.0,1.0,1902 - 3802,1.0,1.0
Zn,Host,245 - 367,0.5,0.2,0 - 155,0.5,0.4,91 - 181,0.2,0.2
Zn,Comparison,3739 - 5608,1.0,0.9,3673 - 5508,1.0,0.9,3803 - 5704,1.0,0.9
Zr,Comparison,3739 - 5608,0.8,0.8,3673 - 5508,0.8,0.8,3803 - 5704,0.8,0.8
Zr,Host,123 - 244,0.8,0.6,0 - 155,0.2,0.2,0 - 90,0.5,0.2
ZrII,Comparison,1870 - 3738,1.0,1.0,1837 - 3672,1.0,1.0,1902 - 3802,1.0,1.0
ZrII,Host,123 - 244,0.9,0.8,0 - 155,0.8,0.7,0 - 90,0.8,0.7