Feature,LabelType,JupiterBinSampleSize,Jupiter_2Sigma_Threshold,Jupiter_3Sigma_Threshold,RockyBinSampleSize,Rocky_2Sigma_Threshold,Rocky_3Sigma_Threshold
Co,Comparison,3739 - 5608,0.95,0.90,5509 - 7344,0.95,0.90
ZrII,Host,123 - 244,0.05,0.05,0 - 155,0.75,0.05
Sc,Host,368 - 489,0.85,0.75,0 - 155,0.05,0.05
S,Comparison,1870 - 3738,0.65,0.45,1837 - 3672,0.40,0.05
Ni,Comparison,7478 - 9347,0.95,0.95,5509 - 7344,0.95,0.95
Mg,Comparison,7478 - 9347,0.65,0.40,5509 - 7344,0.05,0.05
Zn,Comparison,3739 - 5608,1.00,0.95,3673 - 5508,1.00,0.95
SmII,Comparison,1870 - 3738,0.70,0.60,1837 - 3672,0.75,0.45
BaII,Comparison,3739 - 5608,0.85,0.75,3673 - 5508,0.80,0.65
ScII,Host,245 - 367,0.90,0.85,0 - 155,0.55,0.25
C,Comparison,5609 - 7477,0.95,0.90,5509 - 7344,0.95,0.90
Fe,Host,490 - 612,0.05,0.05,621 - 775,0.95,0.90
f_v,Comparison,5609 - 7477,0.95,0.10,5509 - 7344,0.95,0.10
LaII,Comparison,1870 - 3738,0.85,0.75,1837 - 3672,0.80,0.65
Sr,Host,123 - 244,0.75,0.65,0 - 155,0.05,0.05
f_w,Comparison,5609 - 7477,1.00,1.00,5509 - 7344,1.00,1.00
f_u,Comparison,5609 - 7477,0.95,0.90,5509 - 7344,0.95,0.90
O,Host,490 - 612,0.85,0.75,621 - 775,0.10,0.05
Y,Host,368 - 489,0.90,0.85,621 - 775,0.80,0.70
N,Host,368 - 489,0.80,0.65,621 - 775,0.95,0.90
TiII,Host,368 - 489,0.85,0.80,0 - 155,0.05,0.05
V,Comparison,5609 - 7477,0.65,0.45,5509 - 7344,0.05,0.05
Mg,Host,490 - 612,0.90,0.85,621 - 775,0.60,0.35
CrII,Comparison,1870 - 3738,1.00,1.00,1837 - 3672,1.00,1.00
Zn,Host,245 - 367,0.05,0.05,0 - 155,0.75,0.60
Co,Host,368 - 489,0.60,0.35,0 - 155,0.05,0.05
Ni,Host,490 - 612,0.85,0.75,621 - 775,0.85,0.75
Sc,Comparison,3739 - 5608,0.75,0.65,3673 - 5508,0.55,0.05
f_v,Host,245 - 367,0.40,0.30,0 - 155,0.15,0.05
CeII,Host,123 - 244,0.10,0.10,0 - 155,0.05,0.05
EuII,Comparison,1870 - 3738,0.85,0.80,3673 - 5508,0.90,0.80
f_w,Host,245 - 367,0.95,0.90,0 - 155,0.85,0.75
f_u,Host,245 - 367,0.55,0.30,0 - 155,0.05,0.05
Fe,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
NdII,Comparison,3739 - 5608,0.85,0.80,3673 - 5508,0.85,0.80
Sr,Comparison,1870 - 3738,0.70,0.45,3673 - 5508,0.55,0.20
YII,Host,123 - 244,0.75,0.55,0 - 155,0.05,0.05
Mn,Host,490 - 612,0.90,0.80,621 - 775,0.40,0.15
Cr,Host,490 - 612,0.90,0.85,621 - 775,0.20,0.05
Al,Host,490 - 612,0.05,0.05,621 - 775,0.95,0.90
Si,Comparison,7478 - 9347,0.40,0.05,7345 - 9181,0.05,0.05
Li,Host,245 - 367,0.05,0.05,0 - 155,0.10,0.05
Na,Host,490 - 612,0.10,0.05,621 - 775,0.95,0.90
Zr,Host,123 - 244,0.75,0.60,0 - 155,0.30,0.05
CrII,Host,245 - 367,0.85,0.75,0 - 155,0.75,0.60
Cu,Host,245 - 367,0.80,0.65,0 - 155,0.05,0.05
NdII,Host,123 - 244,0.70,0.55,0 - 155,0.05,0.05
EuII,Host,123 - 244,0.85,0.75,0 - 155,0.70,0.45
Ti,Host,490 - 612,0.95,0.90,621 - 775,0.85,0.70
CeII,Comparison,3739 - 5608,1.00,0.95,3673 - 5508,1.00,0.95
Ca,Host,490 - 612,0.95,0.90,621 - 775,0.90,0.85
Li,Comparison,1870 - 3738,0.60,0.55,1837 - 3672,0.30,0.25
SmII,Host,123 - 244,0.80,0.70,0 - 155,0.10,0.05
Na,Comparison,5609 - 7477,1.00,0.95,5509 - 7344,0.95,0.95
BaII,Host,245 - 367,0.75,0.65,0 - 155,0.05,0.05
C,Host,490 - 612,0.95,0.85,621 - 775,0.90,0.85
YII,Comparison,1870 - 3738,0.85,0.80,1837 - 3672,0.90,0.80
Zr,Comparison,3739 - 5608,0.85,0.75,3673 - 5508,0.65,0.40
Mn,Comparison,5609 - 7477,0.80,0.65,5509 - 7344,0.35,0.20
ZrII,Comparison,1870 - 3738,1.00,0.95,1837 - 3672,1.00,0.95
Cr,Comparison,5609 - 7477,0.80,0.70,5509 - 7344,0.05,0.05
O,Comparison,5609 - 7477,0.75,0.60,5509 - 7344,0.80,0.70
V,Host,490 - 612,0.90,0.80,621 - 775,0.40,0.15
Si,Host,490 - 612,0.90,0.85,621 - 775,0.05,0.05
N,Comparison,1870 - 3738,0.95,0.95,1837 - 3672,0.95,0.95
Y,Comparison,3739 - 5608,0.90,0.80,3673 - 5508,0.90,0.85
Al,Comparison,5609 - 7477,1.00,1.00,5509 - 7344,1.00,1.00
Ti,Comparison,7478 - 9347,0.85,0.80,7345 - 9181,0.90,0.85
TiII,Comparison,1870 - 3738,0.85,0.80,1837 - 3672,0.75,0.65
S,Host,245 - 367,0.30,0.10,0 - 155,0.55,0.05
Ca,Comparison,7478 - 9347,1.00,0.95,7345 - 9181,1.00,0.95
LaII,Host,123 - 244,0.75,0.65,0 - 155,0.05,0.05
ScII,Comparison,3739 - 5608,0.75,0.60,3673 - 5508,0.85,0.75
Cu,Comparison,3739 - 5608,0.90,0.85,3673 - 5508,0.90,0.85