Feature,LabelType,BinSampleSize,2Sigma_Threshold,3Sigma_Threshold
Al,Comparison,5609 - 7477,0.80,0.60
Al,Host,490 - 612,0.90,0.85
C,Comparison,5609 - 7477,0.05,0.05
C,Host,490 - 612,0.85,0.80
Ca,Comparison,7478 - 9347,0.55,0.40
Ca,Host,490 - 612,0.90,0.85
Co,Host,368 - 489,0.75,0.60
Co,Comparison,3739 - 5608,0.90,0.85
Cr,Comparison,5609 - 7477,0.95,0.95
Cr,Host,490 - 612,0.95,0.90
CrII,Host,245 - 367,0.05,0.05
CrII,Comparison,1870 - 3738,0.95,0.95
f_bv,Comparison,7478 - 9347,0.95,0.95
f_bv,Host,368 - 489,0.90,0.90
f_dist,Comparison,7478 - 9347,0.95,0.95
f_dist,Host,490 - 612,0.95,0.90
f_logg,Host,490 - 612,0.95,0.90
f_logg,Comparison,7478 - 9347,0.95,0.95
f_mass,Comparison,5609 - 7477,0.95,0.95
f_mass,Host,368 - 489,0.95,0.90
f_radius,Host,490 - 612,0.95,0.90
f_radius,Comparison,7478 - 9347,0.95,0.95
f_teff,Comparison,7478 - 9347,0.95,0.95
f_teff,Host,490 - 612,0.95,0.90
f_vmag,Comparison,7478 - 9347,0.95,0.95
f_vmag,Host,368 - 489,0.95,0.90
Fe,Host,490 - 612,0.90,0.80
Fe,Comparison,7478 - 9347,0.85,0.80
Mg,Host,490 - 612,0.90,0.85
Mg,Comparison,7478 - 9347,0.05,0.05
Mn,Comparison,5609 - 7477,0.95,0.95
Mn,Host,490 - 612,0.45,0.20
Na,Comparison,5609 - 7477,0.95,0.95
Na,Host,490 - 612,0.05,0.05
Ni,Host,490 - 612,0.85,0.80
Ni,Comparison,7478 - 9347,0.90,0.80
O,Host,490 - 612,0.85,0.75
O,Comparison,5609 - 7477,0.80,0.70
Sc,Host,368 - 489,0.90,0.80
Sc,Comparison,3739 - 5608,0.85,0.80
ScII,Comparison,3739 - 5608,0.80,0.75
ScII,Host,245 - 367,0.90,0.80
Si,Comparison,7478 - 9347,0.95,0.90
Si,Host,490 - 612,0.75,0.60
Ti,Comparison,7478 - 9347,0.65,0.50
Ti,Host,490 - 612,0.90,0.85
TiII,Comparison,1870 - 3738,0.95,0.90
TiII,Host,368 - 489,0.90,0.90
V,Comparison,5609 - 7477,0.95,0.95
V,Host,490 - 612,0.05,0.05
Y,Host,368 - 489,0.90,0.80
Y,Comparison,3739 - 5608,0.70,0.50
YII,Comparison,1870 - 3738,0.90,0.90
YII,Host,123 - 244,0.90,0.80